language,sentence,n,rand_edgelist,root
Japanese,59,29,"[(25, 16), (23, 7), (11, 16), (28, 18), (8, 17), (12, 27), (17, 21), (28, 19), (12, 13), (21, 26), (6, 1), (25, 22), (1, 10), (29, 5), (18, 4), (5, 3), (9, 11), (20, 2), (6, 15), (14, 8), (23, 26), (8, 24), (19, 2), (20, 22), (15, 8), (28, 29), (8, 13), (5, 21)]",13
Japanese,61,24,"[(7, 21), (12, 11), (2, 23), (9, 7), (16, 14), (21, 24), (7, 15), (4, 9), (15, 6), (17, 23), (13, 11), (18, 5), (17, 3), (6, 5), (2, 8), (4, 16), (13, 9), (1, 20), (1, 4), (22, 17), (10, 19), (3, 9), (19, 12)]",16
Japanese,62,17,"[(3, 5), (9, 4), (3, 2), (13, 17), (7, 13), (6, 1), (6, 4), (8, 10), (12, 3), (7, 11), (14, 9), (15, 16), (2, 4), (15, 12), (4, 10), (1, 17)]",16
Japanese,66,13,"[(1, 7), (13, 12), (10, 1), (4, 2), (9, 8), (9, 6), (6, 7), (8, 3), (3, 11), (5, 4), (6, 5), (9, 13)]",5
Japanese,69,16,"[(3, 1), (7, 13), (9, 8), (1, 12), (14, 16), (10, 16), (6, 11), (4, 1), (2, 5), (8, 14), (14, 6), (15, 14), (4, 9), (5, 3), (7, 15)]",8
Japanese,71,23,"[(5, 14), (4, 11), (13, 10), (18, 1), (17, 8), (11, 21), (3, 20), (16, 19), (15, 12), (17, 6), (7, 2), (12, 11), (11, 1), (4, 10), (1, 5), (8, 23), (9, 15), (3, 9), (19, 21), (18, 23), (7, 22), (2, 8)]",6
Japanese,73,28,"[(7, 25), (18, 16), (28, 15), (14, 4), (5, 16), (3, 17), (9, 19), (10, 3), (10, 20), (11, 6), (1, 11), (13, 25), (14, 12), (25, 17), (5, 21), (23, 27), (8, 4), (4, 27), (28, 2), (12, 19), (2, 20), (4, 6), (17, 23), (26, 7), (19, 24), (18, 20), (19, 22)]",25
Japanese,76,24,"[(19, 13), (10, 17), (12, 23), (9, 7), (5, 21), (2, 1), (11, 15), (10, 20), (22, 20), (9, 3), (2, 16), (15, 16), (4, 8), (2, 8), (23, 9), (16, 6), (18, 19), (19, 21), (19, 14), (12, 5), (22, 1), (22, 7), (5, 24)]",16
Japanese,77,18,"[(7, 16), (11, 3), (2, 9), (4, 5), (18, 5), (14, 8), (7, 13), (15, 2), (1, 10), (18, 17), (11, 15), (10, 17), (9, 4), (5, 16), (14, 1), (6, 1), (12, 7)]",7
Japanese,78,28,"[(18, 9), (11, 14), (3, 11), (4, 23), (13, 5), (27, 10), (20, 6), (21, 25), (11, 1), (17, 18), (16, 9), (1, 17), (28, 26), (27, 2), (25, 2), (22, 10), (20, 21), (13, 21), (12, 7), (2, 28), (19, 6), (24, 15), (20, 3), (6, 24), (24, 12), (5, 8), (4, 14)]",28
Japanese,82,27,"[(6, 8), (8, 23), (14, 13), (17, 1), (5, 10), (4, 20), (12, 14), (26, 3), (9, 18), (5, 18), (17, 2), (1, 18), (25, 1), (7, 11), (15, 27), (24, 10), (7, 21), (2, 11), (22, 19), (16, 21), (23, 11), (23, 19), (20, 24), (13, 19), (10, 15), (3, 22)]",8
Japanese,83,55,"[(41, 49), (23, 20), (55, 14), (12, 47), (51, 38), (25, 15), (24, 21), (36, 54), (38, 18), (17, 36), (52, 12), (26, 49), (2, 12), (42, 25), (34, 5), (45, 53), (13, 48), (30, 31), (24, 16), (29, 17), (31, 1), (13, 19), (34, 40), (14, 40), (13, 18), (29, 16), (39, 53), (23, 16), (41, 2), (35, 41), (6, 19), (28, 8), (33, 11), (44, 22), (9, 54), (4, 14), (28, 38), (10, 20), (3, 43), (6, 42), (2, 9), (39, 15), (11, 46), (33, 30), (18, 50), (18, 37), (5, 20), (1, 52), (51, 10), (43, 32), (24, 22), (34, 3), (7, 13), (47, 27)]",24
Japanese,84,25,"[(23, 19), (13, 20), (22, 19), (18, 25), (17, 21), (24, 9), (19, 14), (11, 21), (2, 7), (25, 16), (5, 19), (21, 4), (16, 1), (20, 9), (25, 3), (7, 15), (6, 21), (21, 8), (10, 7), (9, 12), (5, 24), (17, 19), (22, 15), (1, 12)]",9
Japanese,85,48,"[(3, 47), (29, 38), (1, 2), (9, 44), (15, 36), (31, 40), (29, 14), (48, 47), (9, 34), (1, 20), (27, 45), (36, 18), (4, 6), (27, 6), (18, 11), (39, 30), (35, 28), (20, 19), (4, 12), (17, 12), (16, 22), (40, 38), (35, 42), (43, 16), (7, 15), (41, 8), (36, 27), (19, 5), (25, 42), (39, 37), (34, 6), (10, 26), (41, 32), (21, 32), (10, 42), (21, 31), (48, 26), (17, 25), (2, 23), (31, 1), (24, 44), (43, 1), (20, 24), (46, 45), (37, 24), (13, 46), (33, 28)]",2
Japanese,86,38,"[(28, 22), (25, 5), (31, 33), (28, 36), (2, 6), (29, 19), (10, 20), (5, 13), (19, 23), (12, 14), (38, 16), (35, 7), (30, 1), (16, 34), (19, 7), (38, 35), (9, 32), (22, 11), (11, 10), (26, 3), (4, 17), (24, 6), (27, 34), (14, 34), (37, 13), (8, 27), (22, 32), (28, 31), (21, 7), (13, 19), (4, 36), (2, 29), (16, 15), (3, 18), (30, 29), (19, 33), (26, 23)]",25
Japanese,87,31,"[(8, 7), (6, 14), (23, 4), (1, 28), (12, 13), (17, 25), (18, 10), (11, 16), (19, 3), (9, 2), (26, 23), (4, 10), (23, 8), (23, 22), (31, 29), (19, 28), (30, 21), (6, 20), (18, 13), (14, 24), (24, 18), (14, 11), (15, 17), (29, 26), (14, 30), (28, 25), (24, 5), (9, 3), (27, 24), (1, 22)]",3
Japanese,88,28,"[(20, 16), (27, 11), (23, 16), (26, 13), (6, 11), (23, 19), (26, 14), (8, 24), (15, 12), (7, 25), (15, 2), (18, 5), (28, 10), (2, 24), (8, 17), (6, 1), (8, 22), (6, 9), (20, 6), (10, 3), (4, 7), (27, 2), (4, 9), (21, 22), (18, 23), (3, 7), (10, 14)]",8
Japanese,93,42,"[(18, 7), (28, 23), (9, 20), (31, 5), (26, 12), (27, 36), (13, 6), (11, 34), (26, 19), (18, 10), (10, 17), (33, 20), (3, 2), (2, 19), (26, 32), (28, 30), (12, 31), (24, 35), (16, 27), (15, 26), (2, 25), (17, 3), (4, 8), (37, 26), (6, 23), (15, 8), (18, 39), (7, 1), (34, 5), (33, 30), (1, 41), (10, 36), (14, 29), (35, 38), (25, 9), (38, 26), (29, 11), (42, 25), (6, 22), (36, 21), (40, 16)]",36
Japanese,94,30,"[(10, 28), (4, 14), (30, 3), (29, 19), (21, 30), (24, 11), (17, 23), (16, 21), (18, 1), (3, 11), (28, 15), (20, 1), (25, 2), (24, 18), (12, 7), (22, 8), (5, 3), (19, 12), (15, 26), (30, 6), (29, 23), (27, 28), (13, 3), (9, 16), (10, 5), (12, 13), (8, 14), (17, 25), (20, 22)]",28
Japanese,95,40,"[(23, 7), (14, 26), (15, 39), (40, 8), (13, 38), (32, 25), (15, 2), (40, 36), (9, 27), (21, 17), (17, 25), (35, 14), (30, 3), (18, 39), (32, 22), (32, 20), (19, 8), (8, 30), (1, 37), (38, 12), (28, 39), (11, 39), (36, 5), (22, 29), (28, 24), (9, 19), (39, 33), (34, 35), (35, 9), (10, 37), (6, 34), (7, 34), (7, 4), (31, 1), (17, 38), (7, 16), (16, 31), (18, 21), (4, 33)]",38
Japanese,96,20,"[(2, 16), (5, 16), (11, 7), (18, 6), (15, 8), (1, 10), (19, 2), (12, 6), (1, 15), (5, 14), (15, 13), (7, 16), (11, 18), (4, 15), (4, 2), (17, 10), (8, 20), (17, 3), (9, 13)]",8
Japanese,102,29,"[(29, 27), (24, 21), (3, 12), (12, 17), (27, 23), (22, 15), (10, 21), (18, 16), (19, 25), (9, 26), (6, 15), (7, 23), (14, 6), (10, 28), (24, 2), (28, 9), (2, 22), (15, 27), (7, 5), (4, 13), (11, 27), (21, 4), (20, 29), (1, 16), (8, 7), (13, 17), (22, 1), (19, 24)]",16
Japanese,105,47,"[(12, 24), (17, 16), (10, 15), (17, 30), (4, 11), (6, 1), (13, 41), (35, 8), (20, 9), (15, 44), (30, 22), (37, 18), (9, 46), (35, 27), (12, 23), (36, 16), (4, 13), (8, 29), (34, 26), (25, 26), (30, 46), (47, 3), (38, 40), (31, 28), (43, 18), (19, 34), (20, 19), (41, 38), (9, 32), (5, 14), (3, 21), (16, 1), (14, 32), (33, 36), (38, 42), (27, 37), (13, 28), (10, 46), (23, 45), (47, 18), (24, 29), (39, 24), (24, 16), (45, 2), (7, 23), (42, 26)]",1
Japanese,108,39,"[(5, 24), (15, 30), (30, 27), (38, 35), (18, 9), (9, 8), (22, 35), (9, 1), (1, 17), (36, 35), (38, 34), (2, 24), (33, 5), (21, 13), (35, 11), (34, 31), (7, 14), (7, 20), (23, 13), (34, 17), (22, 39), (1, 15), (3, 7), (36, 26), (16, 27), (6, 34), (2, 12), (29, 16), (19, 24), (25, 32), (20, 10), (14, 1), (25, 12), (32, 8), (37, 4), (21, 16), (14, 28), (37, 2)]",25
Japanese,111,17,"[(5, 9), (2, 14), (7, 12), (1, 15), (10, 13), (12, 16), (15, 11), (8, 5), (9, 7), (4, 3), (17, 13), (16, 6), (13, 2), (1, 3), (16, 10), (6, 4)]",16
Japanese,113,28,"[(1, 26), (13, 15), (4, 21), (25, 15), (9, 10), (23, 8), (19, 17), (23, 2), (6, 12), (11, 19), (3, 18), (20, 11), (28, 15), (2, 25), (13, 24), (20, 16), (18, 7), (12, 16), (6, 27), (4, 28), (28, 22), (27, 18), (11, 5), (1, 27), (15, 14), (18, 8), (28, 9)]",28
Japanese,116,41,"[(22, 6), (34, 31), (1, 25), (19, 17), (14, 29), (19, 26), (26, 8), (6, 18), (24, 22), (33, 39), (7, 38), (8, 27), (14, 30), (34, 3), (15, 3), (19, 25), (17, 16), (37, 35), (36, 13), (30, 11), (21, 4), (40, 41), (40, 22), (9, 40), (20, 5), (13, 31), (11, 5), (23, 29), (15, 21), (2, 19), (2, 3), (22, 12), (10, 18), (41, 35), (38, 16), (37, 29), (39, 32), (20, 31), (33, 4), (28, 4)]",13
Japanese,117,31,"[(17, 15), (16, 9), (23, 3), (7, 14), (23, 13), (23, 1), (12, 18), (7, 30), (2, 10), (16, 1), (24, 23), (31, 15), (27, 30), (20, 21), (6, 8), (2, 27), (6, 23), (5, 6), (28, 29), (25, 9), (4, 3), (11, 18), (20, 23), (19, 15), (11, 31), (28, 10), (10, 15), (21, 7), (26, 13), (31, 22)]",6
Japanese,118,32,"[(20, 23), (25, 28), (12, 1), (23, 9), (27, 24), (2, 12), (18, 2), (8, 23), (5, 8), (12, 29), (27, 20), (31, 3), (19, 15), (4, 24), (7, 16), (17, 9), (4, 10), (3, 22), (26, 24), (26, 2), (32, 7), (29, 16), (5, 21), (11, 30), (5, 14), (7, 25), (13, 30), (11, 31), (13, 17), (23, 6), (30, 19)]",7
Japanese,120,27,"[(1, 2), (17, 26), (24, 3), (12, 9), (25, 5), (16, 11), (26, 25), (14, 10), (4, 10), (21, 19), (2, 7), (22, 19), (23, 4), (17, 8), (3, 20), (8, 9), (25, 1), (19, 15), (14, 13), (3, 27), (7, 3), (22, 18), (6, 17), (21, 13), (11, 2), (4, 5)]",11
Japanese,121,14,"[(11, 8), (13, 10), (5, 1), (7, 8), (14, 13), (9, 5), (9, 4), (2, 12), (9, 8), (6, 12), (2, 10), (7, 12), (3, 13)]",12
Japanese,123,21,"[(9, 7), (3, 12), (6, 16), (13, 19), (13, 8), (5, 15), (5, 9), (14, 16), (12, 1), (3, 17), (21, 18), (4, 13), (10, 4), (8, 15), (18, 7), (14, 11), (1, 9), (11, 17), (2, 16), (3, 20)]",3
Japanese,124,21,"[(4, 15), (21, 7), (10, 18), (4, 6), (12, 10), (16, 1), (20, 8), (14, 1), (19, 20), (13, 11), (21, 11), (19, 5), (5, 21), (3, 2), (4, 2), (3, 9), (17, 5), (9, 18), (16, 18), (17, 9)]",1
Japanese,125,6,"[(3, 1), (6, 4), (2, 5), (5, 4), (2, 1)]",2
Japanese,126,25,"[(11, 16), (8, 16), (15, 25), (1, 18), (14, 9), (25, 22), (8, 1), (6, 15), (5, 21), (12, 4), (2, 11), (4, 10), (17, 23), (7, 18), (20, 19), (19, 16), (16, 3), (1, 6), (12, 3), (7, 17), (13, 1), (14, 20), (7, 5), (24, 23)]",17
Japanese,127,24,"[(23, 12), (20, 4), (2, 23), (8, 10), (14, 12), (16, 11), (6, 3), (12, 24), (9, 11), (8, 19), (15, 5), (4, 9), (19, 11), (13, 17), (6, 17), (1, 2), (19, 24), (5, 13), (20, 18), (3, 7), (22, 18), (2, 3), (21, 16)]",11
Japanese,128,33,"[(33, 5), (5, 19), (33, 1), (8, 27), (15, 6), (21, 12), (31, 26), (23, 19), (20, 29), (10, 30), (4, 9), (8, 26), (5, 28), (10, 8), (20, 25), (29, 7), (23, 16), (5, 13), (17, 9), (28, 6), (14, 7), (4, 15), (11, 13), (30, 4), (33, 22), (24, 32), (2, 18), (5, 2), (24, 13), (28, 21), (25, 27), (1, 3)]",12
Japanese,129,15,"[(2, 14), (15, 14), (1, 6), (6, 10), (7, 3), (10, 13), (6, 9), (5, 12), (12, 8), (1, 4), (7, 8), (9, 5), (5, 15), (11, 2)]",8
Japanese,136,7,"[(7, 5), (1, 6), (1, 4), (3, 7), (2, 3), (2, 6)]",7
Japanese,137,25,"[(10, 25), (17, 8), (13, 1), (10, 12), (19, 15), (2, 4), (6, 11), (9, 1), (16, 20), (3, 10), (25, 1), (21, 9), (6, 10), (8, 19), (10, 4), (18, 21), (11, 24), (20, 24), (10, 5), (10, 22), (15, 14), (3, 7), (12, 15), (23, 2)]",5
Japanese,138,39,"[(26, 20), (24, 16), (23, 7), (6, 30), (27, 18), (24, 21), (27, 39), (15, 12), (14, 36), (6, 10), (7, 11), (9, 3), (17, 31), (5, 4), (32, 2), (21, 8), (35, 28), (32, 13), (3, 14), (15, 29), (31, 36), (33, 25), (39, 28), (27, 4), (24, 19), (9, 27), (1, 15), (4, 10), (20, 19), (10, 34), (7, 37), (29, 14), (33, 16), (22, 8), (22, 34), (38, 18), (11, 3), (15, 13)]",39
Japanese,139,29,"[(3, 16), (2, 23), (4, 10), (18, 6), (15, 2), (6, 12), (2, 8), (18, 19), (21, 27), (2, 7), (5, 14), (17, 24), (28, 1), (3, 8), (22, 20), (13, 29), (15, 20), (13, 11), (11, 14), (6, 26), (6, 7), (24, 23), (25, 15), (2, 10), (21, 26), (19, 9), (1, 12), (28, 29)]",18
Japanese,142,40,"[(20, 9), (1, 15), (37, 14), (24, 28), (25, 10), (25, 16), (4, 7), (18, 32), (37, 36), (13, 10), (9, 36), (22, 5), (33, 38), (6, 21), (17, 4), (17, 19), (39, 23), (6, 29), (24, 3), (29, 27), (18, 40), (13, 15), (9, 26), (5, 24), (29, 34), (35, 38), (14, 30), (16, 12), (22, 21), (3, 31), (35, 22), (33, 39), (24, 10), (12, 20), (11, 28), (27, 40), (7, 22), (23, 2), (19, 8)]",38
Japanese,144,48,"[(25, 19), (29, 45), (11, 37), (38, 33), (5, 20), (1, 4), (17, 9), (47, 31), (29, 36), (15, 46), (24, 35), (22, 27), (16, 39), (46, 26), (28, 9), (38, 22), (15, 32), (48, 10), (25, 36), (42, 16), (48, 3), (42, 20), (21, 7), (23, 29), (18, 1), (24, 41), (47, 2), (10, 34), (42, 3), (25, 20), (6, 31), (17, 7), (35, 44), (21, 45), (28, 32), (43, 5), (40, 12), (47, 4), (37, 27), (30, 2), (40, 14), (35, 17), (30, 32), (27, 42), (13, 35), (12, 33), (18, 8)]",35
Japanese,145,24,"[(9, 2), (14, 17), (10, 20), (24, 16), (21, 13), (19, 14), (12, 5), (6, 19), (17, 20), (20, 4), (2, 23), (8, 3), (22, 2), (8, 15), (21, 1), (11, 4), (8, 12), (22, 16), (10, 7), (23, 6), (3, 2), (1, 8), (18, 1)]",1
Japanese,146,34,"[(12, 34), (24, 32), (24, 31), (3, 18), (29, 25), (30, 3), (4, 14), (3, 1), (14, 7), (7, 29), (15, 14), (5, 25), (28, 3), (2, 16), (8, 4), (19, 11), (23, 9), (25, 13), (5, 17), (34, 13), (12, 11), (32, 21), (11, 28), (33, 4), (11, 22), (26, 33), (16, 6), (10, 16), (3, 9), (27, 3), (10, 23), (8, 20), (31, 19)]",11
Japanese,147,26,"[(6, 14), (10, 23), (23, 17), (25, 19), (17, 15), (1, 11), (9, 8), (13, 9), (21, 26), (26, 12), (1, 16), (11, 21), (17, 20), (4, 15), (26, 5), (14, 2), (19, 16), (16, 3), (8, 7), (5, 20), (25, 24), (22, 26), (18, 22), (6, 5), (13, 2)]",5
Japanese,148,14,"[(3, 12), (13, 11), (14, 4), (7, 9), (11, 14), (14, 2), (5, 6), (4, 8), (11, 1), (10, 3), (6, 1), (4, 9), (7, 12)]",11
Japanese,152,30,"[(19, 5), (13, 2), (15, 3), (11, 1), (11, 27), (24, 25), (1, 5), (6, 29), (20, 30), (17, 7), (26, 27), (23, 18), (4, 23), (27, 12), (12, 22), (8, 4), (28, 19), (14, 10), (26, 6), (2, 27), (16, 21), (24, 30), (13, 21), (25, 3), (27, 10), (7, 9), (3, 14), (17, 15), (18, 16)]",7
Japanese,157,28,"[(23, 24), (10, 18), (4, 1), (10, 1), (7, 18), (21, 5), (27, 3), (6, 25), (1, 19), (26, 23), (10, 13), (27, 26), (28, 5), (1, 22), (9, 4), (26, 12), (24, 20), (4, 26), (13, 5), (11, 9), (17, 19), (16, 2), (22, 8), (15, 14), (2, 20), (4, 25), (28, 14)]",26
Japanese,159,15,"[(4, 9), (3, 5), (12, 1), (13, 14), (15, 9), (6, 7), (10, 4), (1, 3), (8, 13), (8, 10), (7, 10), (5, 11), (3, 9), (2, 15)]",1
Japanese,161,18,"[(14, 11), (3, 17), (12, 13), (12, 3), (1, 4), (10, 7), (5, 2), (6, 7), (18, 16), (18, 15), (1, 8), (2, 9), (3, 6), (5, 3), (13, 14), (7, 15), (4, 17)]",10
Japanese,162,26,"[(13, 16), (20, 15), (7, 2), (19, 26), (8, 14), (5, 14), (17, 22), (15, 3), (26, 25), (19, 10), (2, 22), (6, 23), (24, 13), (8, 18), (10, 7), (15, 18), (11, 16), (23, 13), (11, 3), (11, 9), (11, 1), (22, 4), (11, 21), (6, 7), (12, 3)]",3
